Parliamentary Constituency 2008 Code,Parliamentary Constituency 2008 Label,Qualifications (Highest Level) - 7 Categories Code,Qualifications (Highest Level) - 7 Categories Label,Count
N06000001,Belfast East,0,No qualifications,16420
N06000001,Belfast East,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4794
N06000001,Belfast East,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",10046
N06000001,Belfast East,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",11161
N06000001,Belfast East,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",29453
N06000001,Belfast East,5,"Other: Apprenticeships; other qualifications, equivalent unknown",6362
N06000001,Belfast East,-8,No code required,18086
N06000002,Belfast North,0,No qualifications,24797
N06000002,Belfast North,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",6029
N06000002,Belfast North,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",12561
N06000002,Belfast North,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",13502
N06000002,Belfast North,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",22941
N06000002,Belfast North,5,"Other: Apprenticeships; other qualifications, equivalent unknown",7171
N06000002,Belfast North,-8,No code required,22507
N06000003,Belfast South,0,No qualifications,14809
N06000003,Belfast South,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",3800
N06000003,Belfast South,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",8684
N06000003,Belfast South,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",18512
N06000003,Belfast South,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",47516
N06000003,Belfast South,5,"Other: Apprenticeships; other qualifications, equivalent unknown",5484
N06000003,Belfast South,-8,No code required,18512
N06000004,Belfast West,0,No qualifications,22327
N06000004,Belfast West,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",5008
N06000004,Belfast West,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",11084
N06000004,Belfast West,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",11818
N06000004,Belfast West,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",16936
N06000004,Belfast West,5,"Other: Apprenticeships; other qualifications, equivalent unknown",5546
N06000004,Belfast West,-8,No code required,20908
N06000005,East Antrim,0,No qualifications,15496
N06000005,East Antrim,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",5080
N06000005,East Antrim,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",10675
N06000005,East Antrim,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",12395
N06000005,East Antrim,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",23114
N06000005,East Antrim,5,"Other: Apprenticeships; other qualifications, equivalent unknown",6792
N06000005,East Antrim,-8,No code required,15939
N06000006,East Londonderry,0,No qualifications,20786
N06000006,East Londonderry,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4786
N06000006,East Londonderry,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",11184
N06000006,East Londonderry,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",13018
N06000006,East Londonderry,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",23799
N06000006,East Londonderry,5,"Other: Apprenticeships; other qualifications, equivalent unknown",6850
N06000006,East Londonderry,-8,No code required,19291
N06000007,Fermanagh And South Tyrone,0,No qualifications,23032
N06000007,Fermanagh And South Tyrone,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4751
N06000007,Fermanagh And South Tyrone,2,"Level 2: 5 or more GCSEs (A*-C or 9-4), O levels (passes) CSEs (grade 1); 1 A level, 2-3 AS Levels; NVQ level 2, BTEC General, City and Guilds Craft; or equivalent",11442
N06000007,Fermanagh And South Tyrone,3,"Level 3: 2 or more A Levels, 4 or more AS Levels; NVQ Level 3, BTEC National, OND, ONC, City and Guilds Advanced Craft; or equivalent",12496
N06000007,Fermanagh And South Tyrone,4,"Level 4 and above: Degree (BA, BSc), foundation degree, NVQ Level 4 and above, HND, HNC, professional qualifications (teaching or nursing, for example), or equivalent",26132
N06000007,Fermanagh And South Tyrone,5,"Other: Apprenticeships; other qualifications, equivalent unknown",7558
N06000007,Fermanagh And South Tyrone,-8,No code required,23796
N06000008,Foyle,0,No qualifications,21819
N06000008,Foyle,1,"Level 1: 1 to 4 GCSEs, O levels, CSEs (any grades); 1 AS Level; NVQ level 1; or equivalent",4684
