Parliamentary Constituency 2008 Code,Parliamentary Constituency 2008 Label,National Statistics Socio-economic Classification - 10 Categories Code,National Statistics Socio-economic Classification - 10 Categories Label,Count
N06000001,Belfast East,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",10922
N06000001,Belfast East,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",17130
N06000001,Belfast East,3,L7: Intermediate occupations,10693
N06000001,Belfast East,4,"L8, L9: Small employers and own account workers",5042
N06000001,Belfast East,5,"L10, L11: Lower supervisory and technical occupations",3830
N06000001,Belfast East,6,L12: Semi-routine occupations,9580
N06000001,Belfast East,7,L13: Routine occupations,9321
N06000001,Belfast East,8,"L14.1, L14.2: Never worked and long-term unemployed",7019
N06000001,Belfast East,9,L15: Full-time students,4700
N06000001,Belfast East,-8,No code required,18086
N06000002,Belfast North,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",6904
N06000002,Belfast North,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",13744
N06000002,Belfast North,3,L7: Intermediate occupations,10657
N06000002,Belfast North,4,"L8, L9: Small employers and own account workers",5140
N06000002,Belfast North,5,"L10, L11: Lower supervisory and technical occupations",4422
N06000002,Belfast North,6,L12: Semi-routine occupations,12424
N06000002,Belfast North,7,L13: Routine occupations,13555
N06000002,Belfast North,8,"L14.1, L14.2: Never worked and long-term unemployed",13037
N06000002,Belfast North,9,L15: Full-time students,7118
N06000002,Belfast North,-8,No code required,22507
N06000003,Belfast South,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",18334
N06000003,Belfast South,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",20320
N06000003,Belfast South,3,L7: Intermediate occupations,9912
N06000003,Belfast South,4,"L8, L9: Small employers and own account workers",5372
N06000003,Belfast South,5,"L10, L11: Lower supervisory and technical occupations",3427
N06000003,Belfast South,6,L12: Semi-routine occupations,7851
N06000003,Belfast South,7,L13: Routine occupations,7836
N06000003,Belfast South,8,"L14.1, L14.2: Never worked and long-term unemployed",7846
N06000003,Belfast South,9,L15: Full-time students,17913
N06000003,Belfast South,-8,No code required,18512
N06000004,Belfast West,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",4282
N06000004,Belfast West,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",9988
N06000004,Belfast West,3,L7: Intermediate occupations,9500
N06000004,Belfast West,4,"L8, L9: Small employers and own account workers",4333
N06000004,Belfast West,5,"L10, L11: Lower supervisory and technical occupations",3338
N06000004,Belfast West,6,L12: Semi-routine occupations,9995
N06000004,Belfast West,7,L13: Routine occupations,10986
N06000004,Belfast West,8,"L14.1, L14.2: Never worked and long-term unemployed",13370
N06000004,Belfast West,9,L15: Full-time students,6927
N06000004,Belfast West,-8,No code required,20908
N06000005,East Antrim,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",8135
N06000005,East Antrim,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",14792
N06000005,East Antrim,3,L7: Intermediate occupations,9838
N06000005,East Antrim,4,"L8, L9: Small employers and own account workers",6329
N06000005,East Antrim,5,"L10, L11: Lower supervisory and technical occupations",4539
N06000005,East Antrim,6,L12: Semi-routine occupations,9352
N06000005,East Antrim,7,L13: Routine occupations,9192
N06000005,East Antrim,8,"L14.1, L14.2: Never worked and long-term unemployed",6427
N06000005,East Antrim,9,L15: Full-time students,4950
N06000005,East Antrim,-8,No code required,15939
N06000006,East Londonderry,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",6717
N06000006,East Londonderry,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",14151
N06000006,East Londonderry,3,L7: Intermediate occupations,8799
N06000006,East Londonderry,4,"L8, L9: Small employers and own account workers",9479
N06000006,East Londonderry,5,"L10, L11: Lower supervisory and technical occupations",4268
N06000006,East Londonderry,6,L12: Semi-routine occupations,10096
N06000006,East Londonderry,7,L13: Routine occupations,10920
N06000006,East Londonderry,8,"L14.1, L14.2: Never worked and long-term unemployed",9516
N06000006,East Londonderry,9,L15: Full-time students,6477
N06000006,East Londonderry,-8,No code required,19291
N06000007,Fermanagh And South Tyrone,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",6747
N06000007,Fermanagh And South Tyrone,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",14337
N06000007,Fermanagh And South Tyrone,3,L7: Intermediate occupations,8563
N06000007,Fermanagh And South Tyrone,4,"L8, L9: Small employers and own account workers",10684
N06000007,Fermanagh And South Tyrone,5,"L10, L11: Lower supervisory and technical occupations",5213
N06000007,Fermanagh And South Tyrone,6,L12: Semi-routine occupations,10340
N06000007,Fermanagh And South Tyrone,7,L13: Routine occupations,14823
N06000007,Fermanagh And South Tyrone,8,"L14.1, L14.2: Never worked and long-term unemployed",8449
N06000007,Fermanagh And South Tyrone,9,L15: Full-time students,6256
N06000007,Fermanagh And South Tyrone,-8,No code required,23796
N06000008,Foyle,1,"L1, L2, L3: Higher managerial, administrative and professional occupations",7181
N06000008,Foyle,2,"L4, L5, L6: Lower managerial, administrative and professional occupations",14171
