Parliamentary Constituency 2008 Code,Parliamentary Constituency 2008 Label,Ethnic Group - 5 Categories Code,Ethnic Group - 5 Categories Label,Count
N06000001,Belfast East,1,White,91451
N06000001,Belfast East,2,Asian,2786
N06000001,Belfast East,3,Black,664
N06000001,Belfast East,4,Mixed,1175
N06000001,Belfast East,5,Other,247
N06000002,Belfast North,1,White,103878
N06000002,Belfast North,2,Asian,2660
N06000002,Belfast North,3,Black,1419
N06000002,Belfast North,4,Mixed,1087
N06000002,Belfast North,5,Other,464
N06000003,Belfast South,1,White,104348
N06000003,Belfast South,2,Asian,8407
N06000003,Belfast South,3,Black,2007
N06000003,Belfast South,4,Mixed,1823
N06000003,Belfast South,5,Other,735
N06000004,Belfast West,1,White,89444
N06000004,Belfast West,2,Asian,2310
N06000004,Belfast West,3,Black,828
N06000004,Belfast West,4,Mixed,694
N06000004,Belfast West,5,Other,352
N06000005,East Antrim,1,White,87395
N06000005,East Antrim,2,Asian,1142
N06000005,East Antrim,3,Black,225
N06000005,East Antrim,4,Mixed,594
N06000005,East Antrim,5,Other,134
N06000006,East Londonderry,1,White,98116
N06000006,East Londonderry,2,Asian,754
N06000006,East Londonderry,3,Black,168
N06000006,East Londonderry,4,Mixed,520
N06000006,East Londonderry,5,Other,156
N06000007,Fermanagh And South Tyrone,1,White,104272
N06000007,Fermanagh And South Tyrone,2,Asian,1785
N06000007,Fermanagh And South Tyrone,3,Black,1472
N06000007,Fermanagh And South Tyrone,4,Mixed,1065
N06000007,Fermanagh And South Tyrone,5,Other,617
N06000008,Foyle,1,White,100742
N06000008,Foyle,2,Asian,1548
N06000008,Foyle,3,Black,260
N06000008,Foyle,4,Mixed,754
N06000008,Foyle,5,Other,347
N06000009,Lagan Valley,1,White,109075
N06000009,Lagan Valley,2,Asian,2022
N06000009,Lagan Valley,3,Black,409
N06000009,Lagan Valley,4,Mixed,952
N06000009,Lagan Valley,5,Other,249
N06000010,Mid Ulster,1,White,104061
N06000010,Mid Ulster,2,Asian,631
N06000010,Mid Ulster,3,Black,523
N06000010,Mid Ulster,4,Mixed,500
N06000010,Mid Ulster,5,Other,570
N06000011,Newry And Armagh,1,White,120533
N06000011,Newry And Armagh,2,Asian,835
N06000011,Newry And Armagh,3,Black,232
N06000011,Newry And Armagh,4,Mixed,576
N06000011,Newry And Armagh,5,Other,878
N06000012,North Antrim,1,White,109964
N06000012,North Antrim,2,Asian,607
N06000012,North Antrim,3,Black,191
N06000012,North Antrim,4,Mixed,479
N06000012,North Antrim,5,Other,1018
N06000013,North Down,1,White,90577
N06000013,North Down,2,Asian,1182
N06000013,North Down,3,Black,339
N06000013,North Down,4,Mixed,861
N06000013,North Down,5,Other,211
N06000014,South Antrim,1,White,103331
N06000014,South Antrim,2,Asian,1788
N06000014,South Antrim,3,Black,361
N06000014,South Antrim,4,Mixed,666
N06000014,South Antrim,5,Other,244
N06000015,South Down,1,White,112740
N06000015,South Down,2,Asian,585
N06000015,South Down,3,Black,157
N06000015,South Down,4,Mixed,562
N06000015,South Down,5,Other,242
N06000016,Strangford,1,White,92142
N06000016,Strangford,2,Asian,753
N06000016,Strangford,3,Black,141
N06000016,Strangford,4,Mixed,496
N06000016,Strangford,5,Other,137
N06000017,Upper Bann,1,White,123789
N06000017,Upper Bann,2,Asian,2198
N06000017,Upper Bann,3,Black,1516
N06000017,Upper Bann,4,Mixed,1229
N06000017,Upper Bann,5,Other,788
N06000018,West Tyrone,1,White,91717
N06000018,West Tyrone,2,Asian,483
N06000018,West Tyrone,3,Black,119
N06000018,West Tyrone,4,Mixed,351
N06000018,West Tyrone,5,Other,318
