UK Parliamentary Constituency 2005,All people aged 16 to 74,"1. Higher managerial, administrative and professional occupations: 1.1 Large employers and higher managerial occupations","1. Higher managerial, administrative and professional occupations: 1.2 Higher professional occupations",2. Lower managerial and professional occupations,3. Intermediate occupations,4. Small employers and own account workers,5.  Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed: L14.1 Never worked,8. Never worked and long-term unemployed: L14.2 Long-term unemployed,L15 Full-time students
Aberdeen North,79096,837,6001,12516,8301,3193,6668,11300,11309,1811,1079,16081
Aberdeen South,72437,1782,9851,16262,8916,3917,5735,8782,6792,1385,650,8365
Airdrie and Shotts,64143,728,2378,10858,9077,3992,5790,11278,11688,2632,1689,4033
Angus,63173,1028,2933,12613,7152,5758,6394,10833,9538,1765,1171,3988
Argyll and Bute,65156,1346,3780,14794,8196,8463,5452,9962,7502,1270,1011,3380
"Ayr, Carrick and Cumnock",68991,993,3253,13317,7930,5802,6627,12155,10372,2421,1533,4588
Banff and Buchan,68085,1032,2884,11568,6932,7381,7787,12605,11825,1485,803,3783
"Berwickshire, Roxburgh and Selkirk",69845,1384,3805,14124,7798,8675,5633,11944,9954,1536,1066,3926
"Caithness, Sutherland and Easter Ross",45914,580,2320,8652,4982,5269,4958,8308,6594,1280,800,2171
Central Ayrshire,65475,998,3429,13405,8508,4743,6445,11114,8620,2040,1539,4634
"Coatbridge, Chryston and Bellshill",70844,961,3261,12809,10429,4398,6213,12459,11493,2412,1633,4776
"Cumbernauld, Kilsyth and Kirkintilloch East",65058,1003,3393,13142,10279,4449,5455,10654,8676,1645,1340,5022
Dumfries and Galloway,71245,925,3137,13344,8088,8921,6131,13766,10094,2003,1239,3597
"Dumfriesshire, Clydesdale and Tweeddale",63025,1143,3873,12666,6780,7763,5547,11302,8483,1364,944,3160
Dundee East,64055,1035,4127,14107,8835,4201,5006,9719,7977,2039,1294,5715
Dundee West,69031,600,4020,11367,7728,3340,4844,9638,8960,2743,1624,14167
Dunfermline and West Fife,73524,1348,5127,16271,11489,4645,6209,11377,9273,1836,1498,4451
East Dunbartonshire,59681,1526,7836,16742,9194,4518,3287,6036,3437,980,635,5490
"East Kilbride, Strathaven and Lesmahagow",74421,1325,5042,16325,11832,5409,6045,11095,8884,1564,1255,5645
East Lothian,72821,1344,5497,15903,10053,6440,5755,11360,8664,1579,1049,5177
East Renfrewshire,64758,1733,7592,17050,9506,5041,3645,7379,4138,1586,852,6236
Edinburgh East,76671,882,6333,14119,8773,4414,4418,9017,7205,2528,1268,17714
Edinburgh North and Leith,85575,1917,13166,21540,9695,5351,4898,8704,6905,2271,1314,9814
Edinburgh South,65112,1362,10278,14712,6783,4029,2835,5854,4115,1567,739,12838
