,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group,
Aberdeen North,99654,89878,72013,7051,983,164,4464,5203,710,5122,505,1931,329,1129,1228,2846,2829,17,323,165,124,34,775,558,217,
Aberdeen South,93197,86278,69631,8209,1099,99,2333,4907,655,3578,367,1292,210,756,953,1909,1893,16,226,111,75,40,551,346,205,
Airdrie and Shotts,85845,84505,80571,1820,840,60,775,439,154,989,559,167,9,190,64,98,96,2,45,25,15,5,54,33,21,
Angus,86004,85030,75524,6848,350,158,921,1229,182,575,155,104,13,168,135,90,89,1,52,31,17,4,75,54,21,
Argyll and Bute,88166,87067,69497,14675,721,96,515,1563,277,565,102,115,41,146,161,113,113,0,78,52,13,13,66,32,34,
"Ayr, Carrick and Cumnock",93308,92282,84103,6323,646,99,328,783,203,671,129,180,11,227,124,61,60,1,36,22,12,2,55,25,30,
Banff and Buchan,91325,90390,75917,9680,298,89,1875,2531,174,539,68,102,39,134,196,78,77,1,73,41,27,5,71,38,33,
"Berwickshire, Roxburgh and Selkirk",94683,93426,74756,15448,605,50,1101,1466,263,624,107,151,37,171,158,182,173,9,78,44,28,6,110,56,54,
"Caithness, Sutherland and Easter Ross",62229,61730,50930,9130,259,125,577,709,127,286,41,56,26,58,105,23,22,1,30,24,5,1,33,13,20,
Central Ayrshire,88079,86933,81063,4495,579,40,163,593,181,771,105,293,7,241,125,67,65,2,45,26,15,4,82,52,30,
"Coatbridge, Chryston and Bellshill",95165,93338,88240,1930,1923,66,730,449,229,1388,712,316,14,257,89,107,106,1,35,23,10,2,68,35,33,
"Cumbernauld, Kilsyth and Kirkintilloch East",87012,85226,80727,2739,795,38,422,505,196,1307,623,270,11,225,178,155,154,1,54,22,30,2,74,40,34,
